bandid,checkyr,checkmo,checkday,checkdate,startsearchdate,nestfound,nestid,lat_n,long_n,transmitterid_n,nestnumber,wmu_n,county_n,township_n,landownership_n,eggshatched,eggsunhatched,ageunhatched,eggsdestroyed,nestfate,nestsubfate1,nestsubfate2,nestcomments,unhatchids
8461,2022,7,15,7/15/2022,5/26/2022,N,8461_NoNest_7_15_2022,40.43,-75.6,10082,,5C,Berks,Washington,Private,0,1,1,0,Abandoned,,,"No nest bowl was found. So nest was based off of average points. Nest area is in an open patch of woods between a road and a house, area had lots of predator scat and there been sightings of foxes in area. One egg was found on 7/20/2022 during the veg survey in the SW quad. there was no nest bowl and the egg was partaly cover. but may have been completely covered durning nest search.",
8462,2022,5,31,5/31/2022,4/11/2022,Y,8462_2022_1,40.42,-75.61,10090,1,5C,Berks,Washington,Private,0,11,1,0,Destroyed,Human,Agricultural,"Farmer was cutting hay when hen flushed nest. Farmer saw transmitter/knew about project and collected 11 eggs from nest. Then placed in incubator, next destrpyed due to HPAI concerns . Nest in same field as 10087 (mortality)",
8462,2022,8,2,8/2/2022,6/13/2022,Y,8462_2022_2,40.42,-75.61,10090,2,5C,Berks,Washington,Private,99,99,99,0,Abandoned,,,No eggs found in nest bowl. Nest bowl in hayfield. Den large enough for fox within 25m with active game trail coming from it. Deer (2) flushed from field while entering to look for nest. Incubating 7/22/22-7/30/22.,
8462,2023,5,60,5/60/2023,#VALUE!,N,8462_NoNest_5_60_2023,,,10090,,5C,Berks,Washington,Private,99,99,99,99,,,,"Nest was abandoned due to hay cutting, when I contacted the landowner for permisson she politly said she did not want us on.",
8462,2022,6,24,6/24/2022,5/5/2022,N,8462_NoNest_6_24_2022,40.41,-75.61,10090,,5C,Berks,Washington,Private,0,0,0,0,Unknown,,,"area of nest has been recently logged. lots of raspberry bushes and japanese stiltgrass, downed logs and rocks/boulders. no nest bowl located. abandoned during heavy rain event on 6/22-6/23 evening.",
8464,2023,6,15,6/15/2023,4/26/2023,Y,8464_2023_1,40.42,-75.58,10096,1,5C,Berks,Washington,Private,4,0,99,99,Hatched,,,Found nest bowl and 4 hatched eggs under a patch of roundleaf greenbrier. Feather pile found within 1m of nest bowl and smaller feather piles scattered around area. It appears as if nest hatched and the hen and her brood were predated shortly there after,
8471,2022,6,21,6/21/2022,5/2/2022,Y,8471_2022_1,40.48,-75.12,10118,1,5C,Bucks,Tinicum,Private,0,0,0,6,Predation,Mammalian,,Third Known attempt of incubating. nest was in a raspberry bush between a cut and uncut hayfield. stream was less then 100 meters away. eggs were found on 6/21 and nest was most likely abandend on 6/17. Seen moving in direction away from nest early in the AM.,
8471,2022,7,21,7/21/2022,6/1/2022,N,8471_NoNest_7_21_2022,40.48,-75.11,10118,,5C,Bucks,Tincum,Private,99,99,99,0,Unknown,,,"Hen incubating from 5/3 to 5/10/22. Nest check completed 7/21/22. Missed nest while looking over data from previously missing bird. No egg remnants found in area of nest, but game trail and potential nest bowl were located.",
8472,2022,6,7,6/7/2022,4/18/2022,Y,8472_2022_1,40.48,-75.14,10055,1,5C,Bucks,Tinicum,Private,0,12,2,0,Abandoned,,,"Signs of struggle near nest bowl, hen abandoned over 5/27. In vicinity of other turkey mortality. two eggs outside nest bowl, nest bowl uncovered. Most eggs at week 2 day 11-12. One egg cracked at week 1",
8472,2023,6,7,6/7/2023,4/18/2023,Y,8472_2023_1,40.49,-75.14,10055,1,5C,Bucks,Tinicum,Private,0,0,99,0,Predation,Unknown Predator,,No eggs in nest bowl. Tail feathers at nest bowl and Acc shows attack spikes from ~ 5am. Hen no longer heard in area of nest bowl since 5/22. Hen incubation began 5/7.,
8473,2022,6,9,6/9/2022,4/20/2022,Y,8473_2022_1,40.49,-75.15,10120,1,5C,Bucks,Tinicum,Private,0,0,0,0,Abandoned,,,Abandoned on 6/7 no eggs in nest bowl. Not far from roadway under cedar tree but not at the base of cedar tree.Previously recorded as nest 2. Nest check on attempt 2 not completed.,
8473,2022,8,3,8/3/2022,6/14/2022,Y,8473_2022_2,40.48,-75.16,10120,2,5C,Bucks,Tinicum,Private,9,2,0,0,Hatched,,,"nest left by hen 8/1/22. 2 eggs unhatched at different ages. one at week 0 and the other around week 3. week 3 embryo was fudgy and did not look like the other embryos I have cracked open, the egg also popped when struck with the pocket knife - smelled worse than usual and yolk was cloudy yellow not a rich egg orange yellow.",
8473,2023,4,28,4/28/2023,3/9/2023,Y,8473_2023_1,40.49,-75.16,10120,1,5C,Bucks,Tinicum,Private,0,17,99,99,Abandoned,,,"landowner flushed hen while walking dog on 4/27 around 1630, spike on AccPlot and gps coordiantes confirm this was transmittered hens nest and not a random nest. All eggs in tact and collected for egg study though UT. Hen incubated 4/22 to 4/27",
8473,2023,6,30,6/30/2023,5/11/2023,Y,8473_2023_2,40.49,-75.14,10120,2,5C,Bucks,Tinicum,Private,10,0,99,0,Hatched,,,"Nest is 50 yards up a hill near a field and 75 yards from a house. Nest is on upside os a maple, not much tall ground cover",
8473,2023,5,24,5/24/2023,4/4/2023,N,8473_NoNest_5_24_2023,,,10120,,5C,Bucks,Tinicum,Private,99,99,99,99,,,,"Nest in pool area landscaping. Mulching area while nest check was being completed, grounds crew did not indicate nest was found while working in the area. Hen was incubating 5/15-5/17 ~40.4746, -75.14602 no nest bowl, feathers, egg remnants found at nest attempt point.",
8478,2022,6,21,6/21/2022,5/2/2022,Y,8478_2022_1,40.4,-75.56,10132,1,5C,Montgomery,Upper Hanover,Private,0,0,0,0,Predation,Avian,,"Hen attacked on nest on 6/17 at around 230 in the morning. No eggs were found in nest, but feathers were found.",
8478,2022,6,3,6/3/2022,4/14/2022,N,8478_NoNest_6_3_2022,40.4,-75.55,10132,,5C,Montgomery,Upper Hanover,Private,0,0,0,0,Abandoned,,,Found what looked like a nest bowl. we throughly searched the area and where unable to find anything eles. The bowl was right next to a bike trail on a disc golf course.,
8479,2022,6,14,6/14/2022,4/25/2022,Y,8479_2022_1,40.36,-75.55,10059,1,5C,Montgomery,New Hanover,Private,0,0,0,10,Predation,,,"In raspberry thicket, first year growth forest that was logged last year according to landowner. Dead Blue Jay fledling and adult Blue Jay feathers found near nest site",
8479,2023,5,5,5/5/2023,3/16/2023,Y,8479_2023_1,40.36,-75.56,10059,1,5C,Montgomery,New Hanover,Private,0,0,99,99,Predation,Mammalian,Unknown Mammal,"Nest bowl waws very well hidden, no eggs in or around nest. there wee feathers at nest and also 5 meters from the nest as well. hen was killed on nest then taken to den. GPS data shows last nest point then the following point is at den.",
8483,2022,5,24,5/24/2022,4/4/2022,Y,8483_2022_1,40.34,-75.52,10106,1,5C,Montgomery,New Hanover,Private,0,0,0,4,Destroyed,Human,Agricultural,"1 crushed eggshell found in nest bowl, 1 eggshell crushed in tire track near field edge possibly from mowing. Nest bowl in mutifloral rose bush on field edge. Nest bowl 1 meter from stone row. thinking hen abandoned due to ag practices then a predator got eggs.",
8483,2022,6,27,6/27/2022,5/8/2022,Y,8483_2022_2,40.34,-75.53,10106,2,5C,Montgomery,New Hanover,Private,0,0,0,0,Predation,Mammalian,,"nest in hay field 50 yrds from wooded area. no eggs in nest bowl when found. feathers from hen everywhere, some scat found next to nest.",
8501,2022,5,25,5/25/2022,4/5/2022,Y,8501_2022_1,40.42,-75.91,10073,1,5C,Berks,Muhlenberg,Private,0,11,2,0,Abandoned,,,Guard object is tree surrounded by dense veg that was around 3ft tall. would have been very hard for predators to find her. there is a fox den in the area and the pups would follow techs from time to time.,
8501,2023,4,27,4/27/2023,3/8/2023,N,8501_NoNest_4_27_2023,,,10073,,5C,Berks,Alsace,Private,99,99,99,99,,,,"No nest was found, time spent was 2 hours. this nest was also in the same area as where she nested and hachted a brood last year and we were also unable to find a nest then.",
8501,2022,7,14,7/14/2022,5/25/2022,N,8501_NoNest_7_14_2022,40.42,-75.88,10073,,5C,Berks,Alsace,Private,0,0,0,0,Hatched,,,Nest point is based of of Average point. There were white downy feathers around the average point. Hen was accidentaly flushed on 7/11 5 poults were seen while searching for nest. See Brood count folder.,
8576,2023,6,21,6/21/2023,5/2/2023,Y,8576_2023_1,41.03,-79.14,10147,1,2D,Jefferson,Beaver,Private,0,0,99,10,Predation,Unknown Predator,,Nest bowl found in tall/thick grass on hillside. 2 broken eggs found in nest bowl. 8 broken eggs found 5 ft from the nest bowl. Hen appears to have been flushed off the nest around 0900 on 6/16/23 according to ACC and GPS data. No scat or tracks found in the area. However it appears that predator almost killed the hen as there was a 50 yard long trail of breast and wing feathers starting at the nest.,
8576,2023,5,11,5/11/2023,3/22/2023,N,8576_NoNest_5_11_2023,,,10147,,2D,Jefferson,Beaver,Private,99,99,99,99,,,,"Could not get landowner permission, so no search was actually completed.",
8577,2023,7,6,7/6/2023,5/17/2023,Y,8577_2023_1,41.04,-79.12,10747,1,2D,Jefferson,Oliver,Private,7,3,99,99,Hatched,,,Nest found in honeysuckle bush within an old strip mine field. 10 total eggs found. 3 Unhatched eggs were found and collected to be shipped to UTENN. 7 hatched eggs were also found. Nest hatched on 7/3/23. Hen appears to be exhibiting brooding behavior. Seems that hatched shells were stepped on and broken up a bit by hen/poults before they left the nest area. Was able to piece together enough of the shells to find 14 halves of eggs meaning there were 7 total eggs hatched.,"PA-8577-1-23-2, PA-8577-2-23-2, PA-8577-3-23-2"
8577,2023,5,11,5/11/2023,3/22/2023,N,8577_NoNest_5_11_2023,,,10747,,2D,Jefferson,Oliver,Private,99,99,99,99,,,,"One turkey feather was found in the area, however no nest was found. A second search was not conducted due to a bizarre interaction with the landowner and not feeling comfortable/safe being on his property.",
8578,2023,4,28,4/28/2023,3/9/2023,Y,8578_2023_1,41.04,-79.12,10751,1,2D,Jefferson,Oliver,Private,0,12,99,99,Abandoned,,,Started incubating 04/27/23 and abandoned 04/28/23. Nest was located and eggs were not covered and were cold to the touch. All eggs were intact.,
8578,2023,5,23,5/23/2023,4/3/2023,N,8578_NoNest_5_23_2023,,,10751,,2D,Jefferson,Oliver,Private,99,99,99,99,,,,"Potential nest bowl found, but not confident as it was a very slight depression and smaller than the size of a typical hen. Vegetation within potential bowl was not depressed. 2 cracked eggs were located in the area, one about 5 yards from the potential nest bowl and one about 10 yards from the potential nest bowl and a very small piece of egg was found in what was thought might have been the nest bowl. The hen left the nest area shortly after being downloaded on 5/19. No turkey feathers were found in the area but one other unidentified black feather was found within about 5 yards of the potential nest bowl. Pictures of what was found are included in the folder.",
8579,2023,5,30,5/30/2023,4/10/2023,Y,8579_2023_1,41.02,-79.17,10762,1,2D,Jefferson,Ringgold,Private,0,10,99,7,Predation,Unknown Predator,,Nest found inside multiflora rose bush. GPS points show the hen left the nest around 2400 on 5/30 which corresponds with a large spike in her ACC around the same time. 7 eggs from the nest were found predated either in the nest or within 10ft of the nest along with 10 unhatched eggs in the nest that were collected for U Tennessee. A few feathers were also found within about 3ft of the nest.,"PA-8579-1-23-1, PA-8579-2-23-1, PA-8579-3-23-1, PA-8579-4-23-1, PA-8579-5-23-1, PA-8579-6-23-1, PA-8579-7-23-1, PA-8579-8-23-1, PA-8579-9-23-1, PA-8579-10-23-1"
8581,2023,5,15,5/15/2023,3/26/2023,Y,8581_2023_1,41.47,-79.53,11695,1,2D,Clarion,Ashland,Private,0,0,99,1,Predation,Unknown Predator,,Nest found in grass next to a small cluster of trees in a wetland. A few breast feathers were found at the nest. One broken egg was found right outside the nest bowl. ACC showed spike at about 1000 on 5/13 as though she was flushed off the nest. Predation suspected but predator species unknown as no evidence was found to indicate specific predator presence.,
8581,2023,6,21,6/21/2023,5/2/2023,Y,8581_2023_2,41.26,-79.53,11695,2,2D,Clarion,Ashland,Private,0,0,99,6,Predation,Unknown Predator,,"Nest bowl found in honey suckle/multi flora rose bush about 6ft off Bus Mong Road. 2 broken eggs found in nest bowl, the other 4 broken eggs found within 6 ft of the nest. Surrounding habitat is pasture/hay field. Hen appeared to be flushed off nest around 2230 on 6/16 according to ACC and GPS data.",
8586,2023,6,13,6/13/2023,4/24/2023,Y,8586_2023_1,41.04,-79.59,10115,1,2D,Clarion,Toby,Private,0,0,99,4,Predation,Unknown Predator,,"Nest in autumn olive bush next to gas well road. Some egg pieces found in nest bowl but most broken eggs found right outside nest. Nest predated, ACC shows large spike as though something flushed hen off nest. She later returned to nest area several hours later and left (according to GPS), assuming because she found nest predated. Unknown scat also found within 6ft of nest.",
8601,2023,6,16,6/16/2023,4/27/2023,Y,8601_2023_1,40.77,-79.87,10761,1,2D,Butler,Jefferson,Private,6,0,99,0,Hatched,,,At least 6 eggs successfully hatched.,
8602,2023,6,20,6/20/2023,5/1/2023,Y,8602_2023_1,40.78,-79.89,10767,1,2D,Butler,Penn,Private,0,0,99,0,Predation,Unknown Predator,,No eggs found. Only nest bowl and 1 feather,
8602,2023,9,11,9/11/2023,7/23/2023,Y,8602_2023_2,40.78,-79.87,10767,2,2D,Butler,Jefferson,Private,4,5,99,0,Hatched,,,Nest hatched between 9/8-9/9 and hen left immediate nest area on 9/10. Egg shells pieced together resulted in 4 hatched eggs. 5 eggs were unhatched.,PA-8602-#-23-2
8603,2023,6,14,6/14/2023,4/25/2023,Y,8603_2023_1,40.77,-79.86,10077,1,2D,Butler,Jefferson,Private,0,0,99,1,Predation,Unknown Predator,,1 crushed egg shell located,
8604,2023,6,13,6/13/2023,4/24/2023,Y,8604_2023_1,40.79,-79.88,10138,1,2D,Butler,Penn,Private,0,0,99,9,Predation,Unknown Predator,,about 9 destroyed egg shells located,
8605,2023,5,26,5/26/2023,4/6/2023,Y,8605_2023_1,40.77,-79.86,11693,1,2D,Butler,Jefferson,Private,0,0,99,12,Predation,Mammalian,Unknown Mammal,"Hen was incubating on top of a manmade brush pile. Landowner found incubating hen 3 days prior to abandonment and counted 12 eggs while she was on a recess. When doing the nest check, no whole eggs were found in or around the nest bowl. Cracked/crushed egg shells and pieces were found scattered around the nest bowl up to ~7-8 yards away. Two tail feathers were found in the nest bowl.",
8625,2023,6,15,6/15/2023,4/26/2023,Y,8625_2023_1,41.29,-79.78,11697,1,2D,Venango,Rockland,Private,12,1,99,99,Hatched,,,Nest hatched on 6/12/23 but had to wait to do nest check because hen and brood hung around nest area for a few days. Nest found at base of conifer tree. Nest was in the middle of large tract of forest that required 500 yard hike in. 12 hatched eggs found in nest bowl along with 1 unhatched egg which was collected and shipped to UTENN.,PA-8625-1-23-1
8627,2023,5,3,5/3/2023,3/14/2023,Y,8627_2023_1,41.31,-79.77,10750,1,2D,Venango,Rockdale,Private,0,0,99,1,Predation,Unknown Predator,,"1 cracked egg was found about 5 yards from the nest bowl, no other eggs or shell pieces were found",
8627,2023,6,13,6/13/2023,4/24/2023,Y,8627_2023_2,41.32,-79.78,10750,2,2D,Venango,Rockland,Private,0,0,99,9,Predation,Unknown Predator,,Nest bowl found in Japanese barberry bush. Nest predated morning of the nest check. ACC spike corresponds with GPS data to show hen likely being flushed off the nest by a predator in the morning of 6/13/23. Black rat snake was seen about 20 yards from nest during nest check however evidence doesnΓÇÖt seem to point towards reptilian predation. 9 freshly broken eggs found in nest bowl.,
8628,2023,5,4,5/4/2023,3/15/2023,N,8628_NoNest_5_4_2023,,,10097,,2D,Clarion,Piney,Private,99,99,99,99,,,,Suspected the hen may have been incubating but was not positive as her ACCs have been strange due to terrain and she would often spend extended times in a small area. A nest check was completed just to be sure and no evidence of a nest was found.,
8630,2023,5,30,5/30/2023,4/10/2023,Y,8630_2023_1,41.22,-79.43,10760,1,2D,Clarion,Paint,Private,0,0,99,99,Predation,Unknown Predator,,Nest bowl was located in a field. No eggs or pieces of eggs were found but a clump of breast feathers was found next to the nest bowl. Acc shows large spike around 5-6am on 5/28 and GPS data shows hen leaving the nest around that time and not returning to incubate. Because of this it is believed that the hen was likely flushed off the nest by a predator and the eggs were then predated. Landowner mentioned seeing a gray fox frequenting his property.,
8651,2023,6,5,6/5/2023,4/16/2023,Y,8651_2023_1,40.77,-79.37,10100,1,2D,Armstrong,Cowanshannock,Private,5,1,99,0,Hatched,,,"Successful hatch on 6/1/23. Estimated 5 hatched, 1 unhatched found near bowl.",PA-8651-1
8659,2023,7,11,7/11/2023,5/22/2023,Y,8659_2023_1,40.89,-79.19,10748,1,2D,Indiana,West Mahoning,Private,7,0,99,0,Hatched,,,Successful hatch on 7/9/23.,
8661,2023,6,12,6/12/2023,4/23/2023,Y,8661_2023_1,40.88,-79.2,11694,1,2D,Indiana,West Mahoning,Public,9,3,99,0,Hatched,,,Successful hatch on 6/7/23. Delayed nest check due to hen and poults remaining in very close proximity to the nest for several days post-hatch.,PA-8661-1-3
8665,2023,5,18,5/18/2023,3/29/2023,Y,8665_2023_1,40.86,-79.18,11696,1,2D,Indiana,West Mahoning,Private,0,2,99,2,Predation,Unknown Predator,,Hen predated as well as nest. Many feathers found in bowl as well as broken shells.,PA-8665-1-2
8666,2023,6,1,6/1/2023,4/12/2023,Y,8666_2023_1,40.9,-79.22,11711,1,2D,Armstrong,Wayne,Private,0,0,99,1,Predation,Unknown Predator,,One broken egg shell found uphill from nest. Various feathers found in nest bowl. Hen alive. Predated on 5/31/2023.,
8667,2023,6,20,6/20/2023,5/1/2023,Y,8667_2023_1,40.9,-79.21,11701,1,2D,Indiana,West Mahoning,Private,0,0,99,8,Predation,Unknown Predator,,Broken egg shells found in/around nest bowl. Hen was <1wk from anticipated hatch.,
8668,2023,5,16,5/16/2023,3/27/2023,Y,8668_2023_1,40.77,-79.39,11700,1,2D,Armstrong,Kitanning,Private,0,0,99,99,Unknown,,,"Nest Bowl found, no eggs just feathers",
8668,2023,6,22,6/22/2023,5/3/2023,Y,8668_2023_2,40.77,-79.38,11700,2,2D,Armstrong,Cowanshannock,Private,0,0,99,0,Predation,Unknown Predator,,Only nest bowl found,
8669,2023,5,16,5/16/2023,3/27/2023,N,8669_NoNest_5_16_2023,,,10763,,2D,Armstrong,Kitanning,Private,99,99,99,99,,,,,
8670,2023,6,15,6/15/2023,4/26/2023,Y,8670_2023_1,40.75,-79.42,11698,1,2D,Armstrong,Kittanning,Private,0,9,99,0,Abandoned,,,"9 whole eggs found, none were crushed. Hen transmitter was recovered 100 yards away but no carcass was found.",PA-8670-1; PA-8670-2; PA-8670-3; PA-8670-4; PA-8670-5; PA-8670-6; PA-8670-7; PA-8670-8; PA-8670-9
8672,2023,5,30,5/30/2023,4/10/2023,Y,8672_2023_1,40.76,-79.42,10136,1,2D,Armstrong,Kittanning,Private,0,0,99,2,Predation,Unknown Predator,,2 destroyed egg shells found. Hen died and recovered 500 yards away,
8674,2023,5,23,5/23/2023,4/3/2023,Y,8674_2023_1,40.8,-79.9,10098,1,2D,Butler,Penn,Private,0,0,99,4,Predation,Unknown Predator,,Hen nested in ag field. Talked with landowner and the farmer had not been to the field within the time frame of when she started incubating up until she left the nest. Four crushed/broken eggs were found in/around the nest bowl. Body feathers and tail feathers found in nest bowl.,
8674,2023,7,17,7/17/2023,5/28/2023,Y,8674_2023_2,40.8,-79.9,10098,2,2D,Butler,Penn,Private,9,0,99,0,Hatched,,,Nest hatched on 7/14/23. Found 9 hatched eggs. Hen and poults were then predated on 9/18.,
8675,2023,5,30,5/30/2023,4/10/2023,Y,8675_2023_1,40.77,-79.87,11692,1,2D,Butler,Jefferson,Private,0,6,99,0,Abandoned,,,6 whole eggs were found covered with leaves and cold to the touch. Hen may have begun incubation on 5/16 and incubated for 1 day but also could have abandoned during egg-laying stage. Hen did not return to nest site after 5/17. ACC did not show definitive incubation.,PA-8675-#-2023-1
8751,2023,5,31,5/31/2023,4/11/2023,Y,8751_2023_1,41.76,-78.17,10749,1,4D,Centre,Taylor,Private,8,3,99,0,Hatched,,,2 eggs partially hatched with fully developed embryos and 1 egg cracked open with no embryo,
8752,2023,6,20,6/20/2023,5/1/2023,Y,8752_2023_1,40.75,-78.2,10742,1,4D,Centre,Taylor,Private,10,0,99,0,Hatched,,,,
8754,2023,5,2,5/2/2023,3/13/2023,N,8754_NoNest_5_2_2023,,,10127,,4D,Clinton,Logan,Private,99,99,99,99,,,,"Coordinates for nest in dense patches of rubus and barberry, surrounded by down/dead wood. Multiple piles of black bear scat were present including a fresh pile that contained egg shell fragments. Hen abandoned the nest on the afternoon of 4/30/23",
8755,2023,6,6,6/6/2023,4/17/2023,N,8755_NoNest_6_6_2023,41.03,-77.34,11733,,4D,Clinton,Logan,Private,99,99,99,99,,,,"Hen was anticipated to hatch on 6/6/23. Since we were in the area we checked to see if she was on the nest and per telemetry and download, she was off the nest and had left 2 days prior. It is unknown if she abandoned or hatched given, she was in the correct 26-28 day timeframe for incubation. The area of her nest was head-high,extremely thick multiflora rose. After an hour of searching, we were unable to locate a nest or any eggs/shells.",
8756,2023,5,22,5/22/2023,4/2/2023,Y,8756_2023_1,41.03,-77.34,11727,1,4D,Clinton,Greene,Private,0,0,99,7,Predation,Unknown Predator,,Hen incubated 1 day,
8758,2023,6,7,6/7/2023,4/18/2023,Y,8758_2023_1,41.03,-77.34,11742,1,4D,Clinton,Greene,Private,11,0,99,0,Hatched,,,,
8760,2023,5,30,5/30/2023,4/10/2023,Y,8760_2023_1,41.04,-77.32,11730,1,4D,Clinton,Greene,Private,0,0,99,9,Predation,Unknown Predator,,All eggs predated/scavenged. Very few feathers in nest bowl.,
8767,2023,5,30,5/30/2023,4/10/2023,Y,8767_2023_1,40.6,-78.12,10126,1,4D,Huntingdon,Spruce Creek,Public,9,1,99,0,Hatched,,,"Western slope, steep and talus, very open",
8769,2023,5,23,5/23/2023,4/3/2023,Y,8769_2023_1,40.61,-78.14,11737,1,4D,Huntingdon,Spruce Creek,Private,0,6,99,4,Predation,,,Hen abandoned nest and returned within 12 hours only to abandon for good. Back and breast feathers present at nest with eggs and trailed out 2m. Unsure if hen was attacked on nest and/or defending nest. Also possible human disturbance as nest was very close to heavily trafficked road.,PA--8769-1-23-1
8770,2023,6,2,6/2/2023,4/13/2023,Y,8770_2023_1,40.61,-78.12,11741,1,4D,Huntingdon,Spruce Creek,Public,7,0,99,0,Hatched,,,,
8771,2023,7,11,7/11/2023,5/22/2023,Y,8771_2023_1,40.59,-78.14,11732,1,4D,Huntingdon,Spruce Creek,Private,6,0,99,0,Hatched,,,Nest located in the middle of a wheat field.,
8771,2023,5,22,5/22/2023,4/2/2023,N,8771_NoNest_5_22_2023,,,11732,,4D,Huntingdon,Spruce,Private,99,99,99,99,,,,Nest was in the middle of a hay field and hen abandoned during mowing. Hay was then bailed and nothing was left to find a nest.,
8774,2023,6,5,6/5/2023,4/16/2023,Y,8774_2023_1,40.81,-78.42,11734,1,4D,Clearfield,Bigler,Private,0,6,99,0,Predation,Avian,Owl,"Hen attacked on nest at 2300 on 6/2/23 and found dead 5m from nest bowl. All eggs NOT predated. White wash next to nest and next to carcass suggest owl predation and then later scavenging,",PA-8774-1-23-1
8775,2023,5,31,5/31/2023,4/11/2023,Y,8775_2023_1,40.81,-78.43,11729,1,4D,Clearfield,Bigler,Private,0,0,99,5,Predation,Unknown Predator,,Hen expected to hatch 5/28/23 and was predated on 5/29/23. Unable to determine if clutch hatched before predation.,
8802,2023,6,19,6/19/2023,4/30/2023,Y,8802_2023_1,41.07,-77.21,10746,1,4D,Clinton,Greene,Private,0,0,99,7,Predation,Unknown Predator,,Most eggs dragged away from nest bowl,
8802,2023,5,8,5/8/2023,3/19/2023,N,8802_NoNest_5_8_2023,,,10746,,4D,Clinton,Greene,Public,99,99,99,99,,,,,
8803,2023,6,29,6/29/2023,5/10/2023,Y,8803_2023_1,41.07,-77.2,10758,1,4D,Clinton,Greene,Private,2,3,99,2,Hatched,,,,Pa-8803-#-2023-2
8803,2023,5,12,5/12/2023,3/23/2023,N,8803_NoNest_5_12_2023,,,10758,,4D,Clinton,Greene,Private,99,99,99,99,,,,Landowner saw hen near nest site the day she abandoned. Claimed she heard gunshots nearby that may have spooked the hen,
8804,2023,5,17,5/17/2023,3/28/2023,Y,8804_2023_1,41.06,-77.16,10743,1,4D,Clinton,Eastville,Public,0,0,99,0,Unknown,,,No eggs located. Nest bowl determined by the abundance of breast feathers,
8805,2023,5,22,5/22/2023,4/2/2023,Y,8805_2023_1,41.18,-77.07,10756,1,4D,Lycoming,Armstrong,Public,0,0,99,5,Predation,Unknown Predator,,,
8806,2023,5,19,5/19/2023,3/30/2023,Y,8806_2023_1,41.07,-77.22,9778,1,4D,Clinton,Greene,Public,0,0,99,3,Predation,Unknown Predator,,"Hen attacked on nest, eggs predated, Hen then hit by car",
8810,2023,5,1,5/1/2023,3/12/2023,Y,8810_2023_1,40.92,-78.02,10757,1,4D,Centre,Rush,Public,0,0,99,10,Predation,Unknown Predator,,Per ACC hen abandoned nest around 1500 EST on 4/29/23. Nest bowl was found with 10 predated eggs.,
8810,2023,6,16,6/16/2023,4/27/2023,Y,8810_2023_2,40.92,-78.03,10757,2,4D,Centre,Rush,Public,9,1,99,99,Hatched,,,Nest was located in heavy rubus in a slash cut on state forest,PA-8810-1-2023-2
8811,2023,7,10,7/10/2023,5/21/2023,Y,8811_2023_1,40.93,-77.99,10744,1,4D,Centre,Rush,Public,8,1,99,0,Hatched,,,Nest found beneath ferns mixed with heavy mountain laurel cover. One egg was cracked with a hole likely a result of hatching; did not collect for UTenn.,
8902,2023,5,5,5/5/2023,3/16/2023,Y,8902_2023_1,40.9,-77.18,11736,1,4D,Union,Hartley,Public,0,0,99,1,Predation,Unknown Predator,,The hen was flushed from the nest on 5/2 by a predator which was suggested by the piles of feathers trailing from the nest. A single predated egg was located in the nest bowl. The surrounding area was searched but no more eggshells were observed. The nest is located at the base of an autumn olive bush in a marshy field on SGL 317.,
8902,2023,7,5,7/5/2023,5/16/2023,Y,8902_2023_2,40.9,-77.19,11736,2,4D,Union,Hartley,Private,6,0,99,0,Hatched,,,Grass field with scattered multiflora rose. Nest under multiflora rose bush.,
8903,2023,5,19,5/19/2023,3/30/2023,Y,8903_2023_1,40.91,-77.22,11728,1,4D,Union,Hartley,Private,11,0,99,99,Hatched,,,The nest bowl was located in heavy mountain laurel in close proximity to a two-track/ trail on private property.,
8904,2023,5,12,5/12/2023,3/23/2023,Y,8904_2023_1,40.92,-77.27,11740,1,4D,Union,Hartley,Public,0,0,99,99,Unknown,,,Nest bowl was located 30m off of a state forest road in a patch of mountain laurel. The litter surrounding the nest seemed to be scratched up but the bowl remained. No eggs or eggshells were located in or around the nest. The hen began incubating on 4/28 and abandoned on 5/11.,
8905,2023,5,16,5/16/2023,3/27/2023,Y,8905_2023_1,40.92,-77.21,11735,1,4D,Union,Hartley,Private,0,9,99,0,Abandoned,,,The hen abandoned the nest on 5/10. The nest bowl was in moderate ericaceous cover at the base of a chestnut oak approximately 15m from a trail.,
8905,2023,6,8,6/8/2023,4/19/2023,Y,8905_2023_2,40.8,-77.56,11735,2,4D,Union,Hartley,Public,0,0,99,10,Predation,,,"Unsure of when the hen abandoned, nest bowl was located 40m from a state forest road under light cover; open understory",
8907,2023,6,7,6/7/2023,4/18/2023,Y,8907_2023_1,40.92,-77.2,10063,1,4D,Union,Hartley,Public,5,0,99,0,Hatched,,,"5 caps found, eggs trampled.",
8908,2023,5,8,5/8/2023,3/19/2023,Y,8908_2023_1,40.89,-77.18,10125,1,4D,Union,Hartley,Public,0,0,99,0,Unknown,,,"Nest bowl was located in a small patch of herbaceous vegetation right off of a game lands road on SGL 317, adjacent to open fields. The nest was also in close proximity to a WCOs carcass disposal pit. No eggs/ eggshells were located in or around the nest. The hen began incubating on 5/2 and abandoned on 5/5.",
8908,2023,6,27,6/27/2023,5/8/2023,Y,8908_2023_2,40.91,-77.19,10125,2,4D,Union,Hartley,Private,10,1,99,1,Hatched,,,"Incubation initiated on 5/27, nest hatched on 6/22; nest located at the base of a mature oak covered by downed branched; approximately 20m uphill of a private driveway in a wooded area; 10 hatched eggs, 1 that was destroyed, and 1 that was unhatched",PA-8908-1-23-2
