bandid,nestid_v,plottype,surveyyr,surveymo,surveyday,lat_v,long_v,transmitterid_v,nestnumber_v,wmu_v,county_v,township_v,landownership_v,guardobject,guardvo,guardht,averagevo,averagemaxvo,percwoody,percfern,percgrassforb,perclitter,percbare,percboulder,woodyht,fernht,grassforbht,litterht,boulderht,stemcount,woodytype1,woodytype2,vegcomments
8264,8264_2022_1,West,2022,6,13,40.66535,-78.1707,10128,1,4D,Huntingdon,Warriors Mark,Private,Tree,Complete,1.5,0.1,0.1,0,0,100,0,0,0,0,0,10,0,0,0,,,
8207,8207_2022_1,Nest,2022,6,14,40.85438,-77.48577,9776,1,4D,Centre,Penn,Private,Other,Partial,1.7,0.6,1.6,45,30,0,30,0,5,275,30,0,2,15,31,Decid. Eric,Grpvines dwn/dead wood,
8207,8207_2022_1,North,2022,6,14,40.85527,-77.48583,9776,1,4D,Centre,Penn,Private,Other,Partial,1.7,0.2,0.8,22.5,35,12.5,10,15,0,300,100,20,2,0,21,Decid. Eric,Non-native Invasive,
8207,8207_2022_1,East,2022,6,14,40.85448,-77.48457,9776,1,4D,Centre,Penn,Private,Other,Partial,1.7,0.1,0.3,25,25,5,47.5,0,0,300,30,10,2,0,20,Decid. Eric,,
8207,8207_2022_1,West,2022,6,14,40.8544,-77.48695,9776,1,4D,Centre,Penn,Private,Other,Partial,1.7,0.6,0.8,2.5,90,5,2.5,0,0,300,100,80,2,0,0,Decid. Eric,,
8461,8461_2022_1,Nest,2022,6,13,40.42838,-75.59418,10082,1,5C,Berks,Hereford,Private,Tree,Complete,2,0,1,17.5,0,12.5,97.5,2.5,0,58,0,30,5,0,9,Decid. Non-eric,,"Nest was a base of a large oak tree, much old growth not a lot of understory"
8461,8461_2022_1,East,2022,6,13,40.42837,-75.59299,10082,1,5C,Berks,Washington,Private,Tree,Complete,2,0,0.7,60,5,40,90,0,5,110,35,17,3,12,36,Decid. Non-eric,,"Middle of old Growth forest, with understory"
8461,8461_2022_1,West,2022,6,13,40.42837,-75.59536,10082,1,5C,Berks,Washington,Private,Tree,Complete,2,0,0,15,0,65,17.5,7.5,2.5,150,0,3,10,20,19,Decid. Non-eric,,
8461,8461_2022_1,South,2022,6,13,40.42814,-75.59368,10082,1,5C,Berks,Hereford,Private,Tree,Complete,2,0,1.1,17.5,2.5,37.5,92.5,5,2.5,57,45,20,7,16,29,Decid. Non-eric,,Plot was about 10 meters off of a private driveway.
8473,8473_2022_1,Nest,2022,6,9,40.4876,-75.15018,10120,1,5C,Bucks,Tinicum,Private,None,,0,0.2,1.1,0,0,100,52.5,0,0,0,0,65,1,0,0,,,Nest under cedar tree but not at base of cedar tree. In hayfield/fallowfield. Only one bush in plot-raspberries. Previously recorded as nest 2 but nest was actually nest 3 corrected 8/5 RB. No nest check or veg plot completed for nest 2
8473,8473_2022_1,South,2022,6,9,40.48689,-75.15021,10120,1,5C,Bucks,Tinicum,Private,None,,0,0,0.2,40,0,27.5,60,27.5,5,99,0,11,1,10,18,Decid. Non-eric,Non-native Invasive,Plot along creek bank. Creek in plot
8473,8473_2022_1,West,2022,6,9,40.48771,-75.15136,10120,1,5C,Bucks,Tinicum,Private,None,,0,0,0.1,0,0,100,100,0,0,0,0,5,1,0,0,,,In mowed lawn with fence and some trees. Just glass lawn mowed
8472,8472_2022_1,Nest,2022,6,7,40.47544,-75.14183,10055,1,5C,Bucks,Tinicum,Private,Tree,Complete,2,0.3,1.6,47.5,0,30,40,0,0,73,0,55,1,0,0,Decid. Non-eric,Grpvines dwn/dead wood,Nest bowl in raspberry thicket with mature trees/snags on hill ~100m from stream
8472,8472_2022_1,North,2022,6,7,40.47635,-75.14138,10055,1,5C,Bucks,Tinicum,Private,Tree,Complete,2,0.1,0.4,20,0,72.5,10,0,0,65,0,23,1,0,0,Decid. Non-eric,,Mixed raspberry and grasses in cedar grove. Some ash trees mixed throughout plot DBH
8472,8472_2022_1,West,2022,6,7,40.47544,-75.14301,10055,1,5C,Bucks,Tinicum,Private,Tree,Complete,2,0,0.6,12.5,0,92.5,100,0,0,47,0,40,1,0,0,Decid. Non-eric,Grpvines dwn/dead wood,Cedar/oak grove with unmaintained trail throughout
8472,8472_2022_1,South,2022,6,7,40.47445,-75.14199,10055,1,5C,Bucks,Tinicum,Private,Tree,Complete,2,0.4,1.7,55,0,45,87.5,0,0,125,0,19,1,0,10,Non-native Invasive,,Ash/maple stand with honeysuckle < 100m from residential backyard and <100m from stream
8472,8472_2022_1,East,2022,6,7,40.47549,-75.14072,10055,1,5C,Bucks,Tinicum,Private,Tree,Complete,2,0,0.6,15,0,82.5,95,5,0,53,0,40,1,0,2,Decid. Non-eric,Non-native Invasive,Just inside woods off of fallow field
4660,4660_2022_1,Nest,2022,6,10,41.33749,-75.1181,10078,1,3D,Pike,Blooming Grove,Private,Bush,Complete,1.2,0.3,1.1,72.5,25,43.5,12.5,5,0,73,70,20,2,15,70,Decid. Eric,Non-native Invasive,
4660,4660_2022_1,North,2022,6,10,41.33832,-75.11821,10078,1,3D,Pike,Blooming Grove,Private,Bush,Complete,1.2,0.3,0.7,10,97.5,10,47.5,0,0,80,80,4,2,0,0,Grpvines dwn/dead wood,,
4660,4660_2022_1,East,2022,6,10,41.33767,-75.11701,10078,1,3D,Pike,Blooming Grove,Private,Bush,Complete,1.2,0.6,1.7,10,95,10,32.5,10,0,103,90,3,2,0,17,Decid. Eric,Grpvines dwn/dead wood,
4660,4660_2022_1,South,2022,6,10,41.33672,-75.11785,10078,1,3D,Pike,Blooming Grove,Private,Bush,Complete,1.2,0.4,1,70,25,17.5,65,10,0,98,60,10,2,10,99,Decid. Eric,,
4660,4660_2022_1,West,2022,6,10,41.33732,-75.11915,10078,1,3D,Pike,Blooming Grove,Private,Bush,Complete,1.2,0.7,1.2,100,3.3,22.5,12.5,0,0,113,47,20,2,0,28,Decid. Eric,Evrgrn Shrub,
4605,4605_2022_1,Nest,2022,6,14,40.840057,-75.421003,10139,1,3D,Monroe,Eldred,Public,Bush,Partial,1.2,0.7,1.4,32.5,20,57.5,12.5,0,0,108,70,38,2,0,28,Non-native Invasive,,Field was mowed at west flag on private Property
4605,4605_2022_1,North,2022,6,14,40.84086,-75.42128,10139,1,3D,Monroe,Eldred,Public,Bush,Partial,1.2,0.6,1.4,52.5,57.5,12.5,42.5,20,10,125,63,11,2,30,125,Non-native Invasive,,
4605,4605_2022_1,East,2022,6,14,40.84021,-75.41992,10139,1,3D,Monroe,Eldred,Public,Bush,Partial,1.2,0.2,1.3,15,0,95,17.5,0,0,105,0,60,2,0,5,Grpvines dwn/dead wood,,
4605,4605_2022_1,South,2022,6,14,40.83927,-75.42075,10139,1,3D,Monroe,Eldred,Private,Bush,Partial,1.2,0,0.2,5,0,97.5,10,0,0,65,0,10,2,0,0,Non-native Invasive,,
4605,4605_2022_1,West,2022,6,14,40.83983,-75.42221,10139,1,3D,Monroe,Eldred,Private,Bush,Partial,1.2,0,0.2,0,0,100,10,0,0,0,0,10,2,0,0,,,Recently mowed field on private property.
8263,8263_2022_1,Nest,2022,6,14,40.66334,-78.17864,10061,1,4D,Huntington,Warriors Mark,Private,Bush,Partial,0.6,0.5,1.3,100,0,0,0,0,0,200,0,0,0,0,6,Decid. Non-eric,,all blackberry
8263,8263_2022_1,North,2022,6,14,40.66429,-78.17873,10061,1,4D,Huntington,Warriors Mark,Private,Bush,Partial,0.6,0.3,1.7,67.5,2.5,37.5,5,0,0,150,40,90,2,0,30,Non-native Invasive,,made up of honeysuckle and multiflora rose
8263,8263_2022_1,East,2022,6,14,40.66342,-78.17749,10061,1,4D,Huntington,Warriors Mark,Private,Bush,Partial,0.6,0.5,0.6,30,0,30,0,40,0,250,0,42,0,0,7,Non-native Invasive,,"on roadside, prodimentaly honeysuckle"
8263,8263_2022_1,South,2022,6,14,40.66248,-78.17864,10061,1,4D,Huntington,Warriors Mark,Private,Bush,Partial,0.6,0.7,1.3,0,0,100,0,0,0,0,0,100,0,0,12,,,"grassland, no significant woody structure."
8263,8263_2022_1,West,2022,6,14,40.66324,-78.17985,10061,1,4D,Huntington,Warriors Mark,Private,Bush,Partial,0.6,0.2,0.9,60,0,10,40,0,0,175,0,10,2,0,8,decid. Non-eric,,"mostly blackberry, a few blueberry bushes"
8191,8191_2022_1,Nest,2022,5,27,40.72581,-79.29046,10101,1,2D,Armstrong,Plumcreek,Private,Log,Partial,2,0.2,1.3,37.5,0,38,87.5,0,0,77,24,20,4,0,68,grpvns dwn/dead wood,,
8191,8191_2022_1,North,2022,5,27,40.72668,-79.2905,10101,1,2D,Armstrong,Plumcreek,Private,Log,Partial,2,0.13,0.13,22.5,0,40,45,12.5,0,81,0,19,2,0,38,grpvns dwn/dead wood,,
8191,8191_2022_1,East,2022,5,27,40.72603,-79.28927,10101,1,2D,Armstrong,Plumcreek,Private,Log,Partial,2,0.5,1.1,2.5,0,100,23,0,0,92,58,64,3,0,5,grpvns dwn/dead wood,,
8191,8191_2022_1,South,2022,5,27,40.72498,-79.29006,10101,1,2D,Armstrong,Plumcreek,Private,Log,Partial,2,3,0,93,63,0,0,0,0,73,21,36,2,0,11,grpvns dwn/dead wood,,
8172,8172_2022_1,East,2022,6,17,40.733907,-79.293602,10115,1,2D,Armstrong,Plumcreek,Private,Other,Partial,1.3,0.2,1.3,0,0,100,10,0,0,61,0,98,3,0,0,Non-native Invasive,,
8172,8172_2022_1,South,2022,6,17,40.73274,-79.29417,10115,1,2D,Armstrong,Plumcreek,Private,Other,Partial,1.3,0.3,1,0,0,100,0,0,0,56,0,94,0,0,2,Non-native Invasive,,
8172,8172_2022_1,West,2022,6,17,40.733381,-79.295587,10115,1,2D,Armstrong,Plumcreek,Private,Other,Partial,1.3,0.2,1,90,0,45,40,0,0,200,73,74,8,0,255,Non-native Invasive,,
8174,8174_2022_1,Nest,2022,6,6,40.73437,-79.31906,10068,1,2D,Armstrong,Plumcreek,Private,Tree,Partial,1.7,0.2,1.3,55,0,92.5,87.5,0,0,72,0,44,23,0,4,Decid. Eric,Decid. Non-eric,
8174,8174_2022_1,North,2022,6,6,40.73517,-79.3195,10068,1,2D,Armstrong,Plumcreek,Private,Tree,Partial,1.7,1.2,1.4,75,0,77.5,85,0,0,82,0,76,21,0,33,Decid. Eric,Decid. Non-eric,
8174,8174_2022_1,East,2022,6,6,40.73464,-79.31797,10068,1,2D,Armstrong,Plumcreek,Private,Tree,Partial,1.7,0.7,1.1,50,2.5,100,42.5,0,0,157,49,55,2,0,172,Non-native Invasive,,
8174,8174_2022_1,South,2022,6,6,40.73352,-79.31868,10068,1,2D,Armstrong,Plumcreek,Private,Tree,Partial,1.7,0.1,0.8,12.5,0,100,35,0,0,92,0,42,44,0,2,Decid. Eric,,
8174,8174_2022_1,West,2022,6,6,40.73417,-79.32026,10068,1,2D,Armstrong,Plumcreek,Private,Tree,Partial,1.7,0.2,0.7,77.5,5,80,82.5,0,0,151,63,73,4,0,370,Non-native Invasive,,
8176,8176_2022_2,Nest,2022,6,21,40.73501,-79.28994,10091,2,2D,Armstrong,Plumcreek,Private,Bush,Partial,1.3,0.4,1,32.5,0,80,92.5,0,0,71,33,27,6,0,13,Decid. Non-eric,Non-native Invasive,
8176,8176_2022_2,East,2022,6,21,40.73501,-79.28894,10091,2,2D,Armstrong,Plumcreek,Private,Bush,Partial,1.3,0.3,0.8,53,0,90,67.5,0,0,110,0,61,10,0,55,Decid. Non-eric,Grpvines dwn/dead wood,
8176,8176_2022_2,South,2022,6,21,40.73404,-79.29011,10091,2,2D,Armstrong,Plumcreek,Private,Bush,Partial,1.3,0.1,0.5,0,0,100,10,0,0,31,0,32,9,0,0,,,
8176,8176_2022_2,West,2022,6,21,40.7348,-79.29103,10091,2,2D,Armstrong,Plumcreek,Private,Bush,Partial,1.3,0.1,0.5,100,0,67.5,100,0,0,67,39,18,5,0,8,Decid. Non-eric,,
8168,8168_2022_1,Nest,2022,6,3,40.74031,-79.31179,10080,1,2D,Armstrong,Plumcreek,Private,Bush,Partial,2,0.3,2,65,0,97.5,30,0,0,181,16,58,2,0,229,Non-native Invasive,,
8168,8168_2022_1,North,2022,6,3,40.74011,-79.31341,10080,1,2D,Armstrong,Plumcreek,Private,Bush,Partial,2,0.1,1.7,87.5,0,15,97.5,0,0,198,14,17,2,0,300,Non-native Invasive,Grpvines dwn/dead wood,
8168,8168_2022_1,East,2022,6,3,40.73943,-79.31208,10080,1,2D,Armstrong,Plumcreek,Private,Bush,Partial,2,0.1,0.1,15,0,0,100,0,0,25,51,21,3,0,39,Grpvines dwn/dead wood,,
8168,8168_2022_1,South,2022,6,3,40.73875,-79.3129,10080,1,2D,Armstrong,Plumcreek,Private,Bush,Partial,2,0.2,1.2,42.5,0,55,52.5,0,0,115,24,31,2,0,145,Non-native Invasive,Grpvines dwn/dead wood,
8168,8168_2022_1,West,2022,6,3,40.7394,-79.31431,10080,1,2D,Armstrong,Plumcreek,Private,Bush,Partial,2,0.3,2,50,0,82.5,47.5,0,0,123,22,34,2,0,176,Non-native Invasive,Grpvines dwn/dead wood,
8189,8189_2022_2,Nest,2022,6,23,40.73551,-79.28616,10146,2,2D,Armstrong,Plumcreek,Private,Man-made Object,Partial,1,0.1,0.8,57.5,0,87.5,10,10,0,112,0,60,4,0,55,Non-native Invasive,Grpvines dwn/dead wood,
8189,8189_2022_2,North,2022,6,23,40.73642,-79.2862,10146,2,2D,Armstrong,Plumcreek,Private,Man-made Object,Partial,2,0.5,0.4,7.5,0,100,20,0,0,27,0,61,18,0,3,,,
8189,8189_2022_2,East,2022,6,23,40.73556,-79.28496,10146,2,2D,Armstrong,Plumcreek,Private,Man-made Object,Partial,3,0.3,0.3,17.5,45,10,100,0,0,21,49,18,5,0,4,Grpvines dwn/dead wood,,
8189,8189_2022_2,South,2022,6,23,40.7346,-79.2861,10146,2,2D,Armstrong,Plumcreek,Private,Man-made Object,Partial,4,0.4,0.4,0,0,100,0,0,0,37,0,42,0,0,0,Decid. Non-eric,,
8189,8189_2022_2,West,2022,6,23,40.73543,-79.28735,10146,2,2D,Armstrong,Plumcreek,Private,Man-made Object,Partial,5,0.5,0.5,37.5,77.5,15,45,0,0,70,79,52,4,0,,,,
8455,8455_2022_1,Nest,2022,6,28,40.78881,-75.56572,10108,1,5C,Northampton,Lehigh,Public,Bush,Partial,1.2,0.5,1,75,30,17.5,47.5,20,0,85,83,10,2,10,225,Decid. Non-eric,,
8455,8455_2022_1,North,2022,6,28,40.78961,-75.56584,10108,1,5C,Northampton,Lehigh,Public,Bush,Partial,1.2,1.2,1.9,100,0,0,77.5,0,0,118,0,0,3,0,233,Decid. Non-eric,,
8455,8455_2022_1,East,2022,6,28,40.78906,-75.56468,10108,1,5C,Northampton,Lehigh,Public,Bush,Partial,1.2,0,0.8,65,10,0,87.5,0,0,100,60,5,3,0,255,Decid. Non-eric,,
8455,8455_2022_1,South,2022,6,28,40.78791,-75.56555,10108,1,5C,Northampton,Lehigh,Private,Bush,Partial,1.2,0.1,0.3,10,0,75,32.5,5,0,60,0,10,2,0,20,Grpvines dwn/dead wood,,
8455,8455_2022_1,West,2022,6,28,40.78845,-75.56686,10108,1,5C,Northampton,Lehigh,Private,Bush,Partial,1.2,0.2,1.2,52.5,3.3,22.5,67.5,0,0,95,57,10,2,0,168,Decid. Non-eric,,
8483,8483_2022_2,Nest,2022,6,28,40.33602,-75.52905,10106,2,5C,Montgomery,New Hanover,Private,None,,0,0.3,1.7,0,0,100,20,0,0,0,0,100,1,0,0,,,plot in unmowed hayfield - no trees or shrubs. killsite at nest area for hen mortality. was anticipated to hatch 6/30 and was attacked 6/24-6/25 evening
8483,8483_2022_2,West,2022,6,28,40.33602,75.53023,10106,2,5C,Montgomery,New Hanover,Private,None,,0,0.3,1.5,0,0,100,20,0,0,0,0,100,1,0,0,,,"plot in hayfield with no shrubs or trees, west of nest in same hayfield as nest closer to treeline of woods though. large fox seen in woods while conducting this veg plot curvey"
8483,8483_2022_2,East,2022,6,28,40.33602,75.52787,10106,2,5C,Montgomery,New Hanover,Private,None,,0,0.1,0.6,0,0,90,20,0,0,0,0,10,1,0,,,,"plot in horse/sheep pasture behind residence. residence around 100 meters away, turkeys seen running though this area while we were on site"
8483,8483_2022_2,South,2022,6,28,40.33513,75.52906,10106,2,5C,Montgomery,New Hanover,Private,None,,0,0.1,0.2,22.5,0,10,65,2.5,10,19,0,12,8,43,14,Decid. Non-eric,Non-native Invasive,in woods near clearing in woods. turkeys known to roost in this area.
8483,8483_2022_2,North,2022,6,28,40.33691,75.52908,10106,2,5C,Montgomery,New Hanover,Private,None,,0,0.2,0.4,0,0,100,10,0,0,0,0,20,1,0,,,,no trees or shrubs - in horse pasture on top of a hill
4255,4255_2022_2,Nest,2022,7,6,41.52552,-75.39727,10095,2,3D,Wayne,South Canaan,Private,None,Partial,0,0,0.1,0,0,100,0,0,0,0,0,60,0,0,0,,,Hay field was cut and raked before nest was visited. Field was baled following nest visit
4255,4255_2022_2,North,2022,7,6,41.52634,-75.3974,10095,2,3D,Wayne,South Canaan,Private,None,Partial,0,0.2,0.6,22.5,42.5,25,20,0,0,83,48,28,1,10,55,Decid. Eric,,
4255,4255_2022_2,East,2022,7,6,41.5256358,-75.3961484,10095,2,3D,Wayne,South Canaan,Private,None,Partial,0,0.7,1.3,0,0,100,5,0,0,60,0,120,6,0,0,,,High grassy edge of field. No trees.
4255,4255_2022_2,South,2022,7,6,41.52464,-75.39705,10095,2,3D,Wayne,South Canaan,Private,None,Partial,0,0,0.1,0,0,100,0,0,0,0,0,60,0,0,0,,,Completely in hay field.
4255,4255_2022_2,West,2022,7,6,41.52543,-75.39825,10095,2,3D,Wayne,South Canaan,Private,None,Partial,0,0.4,1.3,57.5,17.5,50,32.5,10,7.5,148,48,33,1,10,331,Decid. Eric,,
8177,8177_2022_1,Nest,2022,6,24,40.923311,-79.452118,10100,1,2D,Armstrong,Pine,Private,Bush,Partial,2,0.7,1.7,85,0,27.5,10,0,0,125,0,50,5,0,70,Evrgrn Shrub,,
8177,8177_2022_1,North,2022,6,24,40.92422,-79.45196,10100,1,2D,Armstrong,Pine,Public,Bush,Partial,2,0.1,0.1,15,15,12.5,100,0,25,18,63,12,4,,136,,,
8177,8177_2022_1,East,2022,6,24,40.92343,-79.45093,10100,1,2D,Armstrong,Pine,Private,Bush,Partial,2,0.3,0.9,72.5,0,65,45,0,0,65,0,58,45,0,8,Decid. Eric,,
8177,8177_2022_1,South,2022,6,24,40.92244,-79.45225,10100,1,2D,Armstrong,Pine,Private,Bush,Partial,2,0.1,0.1,30,0,0,100,0,0,39,0,0,5,0,35,,,
8177,8177_2022_1,West,2022,6,24,40.92334,-79.4533,10100,1,2D,Armstrong,Pine,Public,Bush,Partial,2,0.1,0.4,12.5,80,50,92.5,0,0,26,86,41,6,0,2,,,
8173,8173_2022_1,Nest,2022,7,6,40.72395,-79.28817,10097,1,2D,Armstrong,Plumcreek,Private,Bush,Partial,1.3,0.5,1.2,7.5,0,100,10,0,0,115,0,63,5,0,18,Non-native Invasive,,
8173,8173_2022_1,North,2022,7,6,40.7248,-79.28806,10097,1,2D,Armstrong,Plumcreek,Private,Bush,Partial,1.3,0.3,1,0,0,100,10,0,0,70,0,77,15,0,0,,,
8173,8173_2022_1,East,2022,7,6,70.72393,-79.28696,10097,1,2D,Armstrong,Plumcreek,Private,Bush,Partial,1.3,0.7,1.6,10,0,55,10,0,0,191,0,103,3,0,45,Decid. Non-eric,,
8173,8173_2022_1,South,2022,7,6,40.72302,-79.28811,10097,1,2D,Armstrong,Plumcreek,Private,Bush,Partial,1.3,0.5,1.1,2.5,0,100,10,0,0,161,0,87,3,0,2,,,
8173,8173_2022_1,West,2022,7,6,40.72392,-79.28934,10097,1,2D,Armstrong,Plumcreek,Private,Bush,Partial,1.3,0.7,0.9,7.5,0,100,10,0,0,172,0,86,4,0,86,Non-native Invasive,,
4603,4603_2022_1,Nest,2022,7,12,40.81413,-75.40595,10121,1,3D,Northampton,Moore,Private,Bush,Partial,1,0.7,1.4,30,0,75,0,0,0,293,60,109,2,0,149,Non-native Invasive,Grpvines dwn/dead wood,
4603,4603_2022_1,East,2022,7,12,40.81432,-75.40482,10121,1,3D,Northampton,Moore,Private,Bush,Partial,1,0.4,1.8,25,15,70,12.5,15,0,203,71,79,20,0,166,Non-native Invasive,,
4603,4603_2022_1,South,2022,7,12,40.81333,-75.40574,10121,1,3D,Northampton,Moore,Private,Bush,Partial,1,1.4,1.6,75,0,50,0,0,0,238,60,390,56,0,268,Grpvines dwn/dead wood,Non-native Invasive,
8209,8209_2022_2,Nest,2022,7,14,40.95795,-78.1875,9777,2,4D,Clearfield,Morris,Private,Tree,Complete,2,0.6,2,47.5,0,67.5,0,0,0,750,0,105,0,0,47,Decid. Non-eric,Non-native Invasive,
8209,8209_2022_2,North,2022,7,14,40.95885,-78.18761,9777,2,4D,Clearfield,Morris,Private,Tree,Complete,3,0.1,2,57.5,5,15,55,2.5,0,1050,30,40,2,0,23,Grpvines dwn/dead wood,,
8209,8209_2022_2,East,2022,7,14,40.95791,-78.186306,9777,2,4D,Clearfield,Morris,Private,Tree,Complete,4,0.1,0.6,70,0,0,87.5,0,0,1400,0,0,2,0,0,Grpvines dwn/dead wood,,
8209,8209_2022_2,South,2022,7,14,40.95706,-78.1874,9777,2,4D,Clearfield,Morris,Private,Tree,Complete,2,0.4,1.7,45,0,80,0,0,0,187,0,70,0,0,36,Grpvines dwn/dead wood,,high grass/forbs; dominated by aspen and black locust
8209,8209_2022_2,West,2022,7,14,40.95784,-78.1887,9777,2,4D,Clearfield,Morris,Private,Tree,Complete,2,0.5,2,40,0,90,0,0,0,187,0,70,0,0,66,Non-native Invasive,Decid. Non-eric,grass/forb dominated opening; young black locust; some honeysuckle
8461,8461_2022_2,Nest,2022,8,2,40.43738,-75.60191,10082,2,5C,Berks,Hereford,Private,None,,0,0.5,1.2,0,0,100,90,0,0,0,0,69,6,0,,,,In Hayfield. field being mowed as survey was being done
8461,8461_2022_2,East,2022,8,2,40.43732,-75.6008,10082,2,5C,Berks,Hereford,Private,None,,0,0.1,0.2,2.5,0,90,30,0,0,100,0,10,3,0,7,,,point in mowed english lawn
8461,8461_2022_2,South,2022,8,2,40.43644,-75.60197,10082,2,5C,Berks,Hereford,Private,None,,0,0.3,1.1,0,0,100,90,0,0,0,0,52,7,0,,,,It was a hayfield
8461,8461_2022_2,West,2022,8,2,40.43732,-75.60316,10082,2,5C,Berks,Hereford,Private,None,,0,0.2,0.6,0,0,100,90,0,0,0,0,47,7,0,,,,In hayfield. no where near treeline no trees or shrubs in hayfield
8462,8462_2022_2,Nest,2022,8,2,40.41571,-75.60662,10090,2,5C,Berks,Washington,Private,None,,0,0.6,1.2,0,0,90,80,0,0,0,0,65,3,0,0,,,Large active den ~25m from nest bowl. No eggs found in nest bowl. Active driveway ~50m from nest bowl.
8462,8462_2022_2,East,2022,8,2,40.41573,-75.60544,10090,2,5C,Berks,Washington,Private,None,,0,0.1,0.9,40,0,47.5,82.5,2.5,0,84,0,25,3,0,42,Decid. Non-eric,,Plot alonside residential gravel driveway
8462,8462_2022_2,South,2022,8,2,40.41485,-75.60675,10090,2,5C,Berks,Washington,Private,None,,0,0.4,0.6,35,0,35,62.5,25,0,123,0,49,2,0,22,Decid. Non-eric,,Point on gravel driveway
8462,8462_2022_2,West,2022,8,2,40.41575,-75.6078,10090,2,5C,Berks,Washington,Private,None,,0,0.1,0.6,10,0,85,90,0,0,70,0,58,2,0,36,Decid. Non-eric,,Point is on a woodline at the edge of a hayfield. Abundant sassafras along edge of field
8473,8473_2022_2,Nest,2022,8,8,40.48498,-75.15754,10120,2,5C,Bucks,Tinicum,Private,None,,0,,1.5,35,0,47.5,90,0,0,67,0,32,2,0,16,Non-native Invasive,Grpvines dwn/dead wood,"No guard object, nest is sort of in the open, near a ceader blow down, low if not no understory"
8473,8473_2022_2,North,2022,8,8,40.48587,-75.15754,10120,2,5C,Bucks,Tinicum,Private,None,,0,0.1,0.2,5,0,42.5,90,0,0,28,0,18,3,0,13,Grpvines dwn/dead wood,,"very open. low/ no ground cover. mix of old and new growth trees. Multiple brush piles outside of plot, possibly managed by landowners. trees were mainly maples."
8473,8473_2022_2,East,2022,8,8,40.48498,-75.15636,10120,2,5C,Bucks,Tinicum,Private,None,,0,0.1,0.3,0,0,50,90,0,0,0,0,28,1,0,,,,Point was in the middle of a mowed field
8473,8473_2022_2,South,2022,8,8,40.48408,-75.15754,10120,2,5C,Bucks,Tinicum,Private,None,,0,0.1,0.3,0,0,62.5,90,0,0,0,0,41,0,0,,,,Point was on the edge of a mowed field with some tall grass and no trees.
8208,8208_2022_1,Nest,2022,9,1,41.01589,-77.49978,10064,1,4D,Clinton,Porter,Private,Log,Partial,0.2,0.3,1.1,75,7.5,5,12.5,0,0,225,50,4,2,0,15,Non-native Invasive,,Abundant Japanese barberry with small patchy openings containing minimal ferns and grass/forbs
8208,8208_2022_1,North,2022,9,1,41.01589,-77.49978,10064,1,4D,Clinton,Porter,Private,Log,Partial,0.2,0.1,1.7,35,10,25,42.5,0,0,125,40,20,2,0,20,Non-native Invasive,Grpvines dwn/dead wood,"Open understory with patchy fern and grass/ forbs; high canopy; some saplings, Japanese barberry, and downed/ dead wood"
8208,8208_2022_1,East,2022,9,1,41.01589,-77.49978,10064,1,4D,Clinton,Porter,Private,Log,Partial,0.2,0.2,1.5,42.5,20,0,20,0,15,143,40,0,2,27,7,Non-native Invasive,Grpvines dwn/dead wood,"Semi-open, high canopy with sparse birch saplings, patchy fern and Japanese barberry; slightly rocky"
8208,8208_2022_1,South,2022,9,1,41.01589,-77.49978,10064,1,4D,Clinton,Porter,Private,Log,Partial,0.2,0.8,2,72.5,12.5,0,65,0,0,200,23,0,2,0,91,Grpvines dwn/dead wood,,"Dense stand of stiped maple saplings with little live, vegetative ground cover, patchy ferns, downed dead wood and Japanese barberry, mature trees intermixed"
8208,8208_2022_1,West,2022,9,1,41.01589,-77.49978,10064,1,4D,Clinton,Porter,Private,Log,Partial,0.2,0.2,0.2,27.5,27.5,5,42.5,0,0,93,40,20,2,0,10,Grpvines dwn/dead wood,,"Open area consisting of downed/ dead wood and patchy fern, high canopy, very little live vegetative ground cover/ understory"
8461,8461_2022_3,Nest,2022,9,19,40.42452,-75.59925,10082,3,5C,Berks,Washington,Private,Bush,Partial,0.8,0.5,1.4,7.5,0,67.5,7.5,17.5,0,67,0,34,6,0,0,Decid. Non-eric,,Nest between road and mowed lawn. Hen appears to have been flushed and killed away from nest. bowl appears mostly undisturbed. mortality around 9/16/2022 and the nest was in wineberry.
8461,8461_2022_3,North,2022,9,19,40.42532,-75.59932,10082,3,5C,Berks,Washington,Private,Bush,Partial,0.8,0.1,0.6,25,0,20,5,25,0,120,0,50,6,0,32,Decid. Non-eric,,Point was on the side of the road with half of the plot actually being the road.
8461,8461_2022_3,East,2022,9,19,40.42443,-75.59812,10082,3,5C,Berks,Washington,Private,Bush,Partial,0.8,0.1,0.5,15,0,32.5,52.5,0,0,24,0,15,5,0,21,Decid. Non-eric,,"Plot is a good mix of old and young growth, lots of deer browse. was also 30 yrds from where the mortality was found and 50 yrds from a building"
8184,8184_2022_1,Nest,2022,9,21,40.8772,-79.519,10131,1,2D,Armstrong,East Franklin,Private,Bush,Partial,0.5,0.2,0.9,85,0,60,100,0,0,91,0,42,5,0,29,Decid. Non-eric,Grpvines dwn/dead wood,
8184,8184_2022_1,North,2022,9,21,40.87785,-79.51926,10131,1,2D,Armstrong,East Franklin,Private,Bush,Partial,0.5,,,0,0,0,0,100,0,0,0,0,0,0,0,,,"Plot was located at gas well pad; Area was all gravel, cement, and well equipment"
